wav_filename,wav_filesize,transcript
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_1.wav,348312,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_10.wav,322712,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_11.wav,307352,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_12.wav,207512,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_13.wav,194712,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_14.wav,199832,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_15.wav,332952,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_16.wav,302232,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_17.wav,284312,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_18.wav,230552,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_19.wav,271512,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_2.wav,350872,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_20.wav,230552,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_21.wav,176792,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_22.wav,271512,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_23.wav,230552,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_24.wav,184472,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_25.wav,215192,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_26.wav,233112,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_27.wav,291992,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_28.wav,176792,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_29.wav,248472,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_3.wav,322712,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_30.wav,243352,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_31.wav,276632,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_32.wav,312472,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_33.wav,279192,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_34.wav,276632,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_35.wav,271512,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_36.wav,202392,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_37.wav,227992,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_38.wav,256152,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_39.wav,212632,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_4.wav,373912,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_40.wav,258712,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_5.wav,322712,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_6.wav,313388,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_7.wav,253592,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_8.wav,253592,Okay Topanga
C:\Users\J3R0N1M0\Documents\Audacity\okay_topanga_9.wav,307352,Okay Topanga
